 ,ISO3 Alpha-code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Iceland,ISL,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
India,IND,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,8,6,6,29,37,38,44,73,70,79,87,88,89,90,91,85,85,85
Indonesia,IDN,28,28,28,28,28,28,28,28,28,28,28,28,28,43,42,50,62,65,76,77,65,62,63,64,64,65,66,76,82,82,83,81,86,92,88,84,84,85,85,85,77,67,67
"Iran, Islamic Rep.",IRN,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,59,84,93,94,95,99,94,99,98,95,94,98,97,99,99,99,99,98,99,99,98,99,99,99,99,99,98,98
Iraq,IRQ,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,57,22,65,3,52,67,66,65,63,62,65,59,56,66,75,72,78,65,68,69,68,71,81,86,84,74,78,78
Ireland,IRL,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,95,95,95,95,95,95,95,94,93,94,93,93
Isle of Man,IMN,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,55.98412698,56.15873016,55.98941799,56.38095238,57.71428571,59.15873016,60.78306878,63.02645503,64.14814815,64.41269841,66.67195767,67.98412698,69.76719577,72.06878307,74.78835979,78.13756614,80.51851852,82.3968254,83.65608466,84.77248677,85.79365079,86.07936508,86.64021164,87.17460317,87.32804233,87.1957672,87.11640212,87.37566138,87.16931217,87.38095238,87.67724868,85.14814815,83.85714286,83.85714286
Israel,ISR,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,93,96,97,97,96,98,96,98,98,99,96,96,99,99,98,97,98,97,97,97,96,95,97,96,96,96,96,96
Italy,ITA,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,97,94,95,95,95,96,96,96,97,96,96,96,96,96,96,95,93,93,94,95,95,94,94,94
Jamaica,JAM,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,98,99,97,92,92,90,94,92,96,93,92,91,98,93,97,96,95,89,89
Japan,JPN,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,92,92,92
Jordan,JOR,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,85,90,91,92,93,97,95,97,95,95,98,98,97,98,98,98,98,98,98,99,98,99,96,89,77,77,77
Kazakhstan,KAZ,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,90,99,95,95,99,99,94,99,94,99,99,99,99,95,99,95,98,82,99,98,97,88,95,95
Kenya,KEN,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,73,73,76,80,81,88,88,90,96,94,93,92,89,89,82,92,91,91,91,91
Kiribati,KIR,73,73,73,73,73,73,73,73,73,73,73,7,6,8,36,36,66,97,89,82,90,85,79,73,67,50,88,96,83,86,91,95,94,95,75,82,81,90,95,94,92,94,94
"Korea, Dem. People's Rep.",PRK,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,98,92,96,92,92,93,93,94,96,93,93,96,96,97,97,97,97,41,41
